supplier_name,region,country,function,cost,rating,average_delivery_time,number_of_escalations,year,resources
Publicis-Ariely Ltd.,Europe,Israel,Application analyst,390,83,276,105,2019,6400
Pyng Technologies Corp.,Europe,Canada,Data scientist,475,66,211,127,2007,8700
QI Systems Inc.,Europe,Canada,Application analyst,690,79,249,76,2012,8100
Qiagen N.V.,Europe,Netherlands,Data analyst,305,70,293,61,2013,6500
"Qiao Xing Universal Telephone, Inc.",Europe,British Virgin Islands,UX designer,610,90,245,87,1992,2200
QLT Inc.,Europe,Canada,IT analyst,140,94,298,119,2012,2300
QSC AG,Europe,Germany,Application developer,240,65,259,97,2014,2400
QSound Labs Inc.,Europe,Canada,Business intelligence analyst,345,70,277,68,2003,2000
Quartz Mountain Gold Corp.,Europe,Canada,Accounting and finance,480,77,267,106,2010,4400
Quebecor Inc.,Europe,Canada,software developer,725,69,275,135,1995,6900
Quebecor Media Inc.,Europe,Canada,Web developer,605,78,265,93,1999,6900
Quebecor World Inc.,Europe,Canada,Product manager,405,63,283,161,1991,7800
Queenstake Resources Ltd.,Europe,Canada,Technical writer,170,90,200,77,1999,1300
Quilmes Industrial Quinsa S.A.,Europe,Luxembourg,Software architect,425,91,225,198,2001,2400
Quinenco S.A.,Europe,Chile,Network engineer,640,73,290,139,2010,2500
Quintalinux Ltd.,Europe,British Virgin Islands,Applications Development & Maintenance,310,87,237,174,1996,4200
QXL Ricardo plc,Europe,United Kingdom,software developer,635,62,219,53,2007,6600
Rada Electronic Industries Ltd.,Europe,Israel,Software architect,95,87,254,79,2012,7300
Radcom Ltd.,Europe,Israel,IT coordinator,335,94,229,104,2021,6900
Radica Games Ltd.,Europe,Bermuda,Market research,270,81,294,50,2009,2200
Radius Explorations Ltd.,Europe,Canada,.Net developer,395,82,287,122,2016,3000
Radvision Ltd.,Europe,Israel,IT analyst,125,74,224,188,1997,5500
Radware Ltd.,Europe,Israel,Application analyst,795,84,288,128,2011,4600
Randgold & Exploration Co. Ltd.,Europe,South Africa,Computer programmer,245,68,211,153,2012,3200
Range Petroleum Corp.,Europe,Canada,Accounting and finance,130,75,220,51,1994,2500
Rank Group plc,Europe,United Kingdom,Application analyst,750,79,202,94,2019,1500
Realax Software AG,Europe,Germany,Computer network architect,515,75,256,147,1996,3800
"Receptagen, Ltd.",Europe,Canada,System engineer,695,74,202,131,2014,4300
Rediff.com India Ltd.,Europe,India,Accounting and finance,790,83,241,164,2007,7100
Reed International plc,Europe,United Kingdom,Product manager,685,80,281,149,1992,4100
Reg Technologies Inc.,Europe,Canada,Finance and accounting,465,69,284,180,1994,1200
Regional Independent Media Group plc,Europe,United Kingdom,Network engineer,620,85,277,151,2005,7700
Regus plc,Europe,United Kingdom,Java developer,210,85,289,144,2016,3300
Repadre Capital Corp.,Europe,Canada,software developer,595,76,244,120,2021,4800
Repsol YPF S.A.,Europe,Spain,Software quality assurance,795,74,249,164,2013,5200
Republic Goldfields Inc.,Europe,Canada,IT analyst,95,90,222,189,1990,1300
Research in Motion Ltd.,Europe,Canada,Web developer,295,65,293,117,2006,8000
Resource Finance & Investments Ltd.,Europe,Canada,Application developer,720,64,211,196,2010,6000
Retalix Ltd.,Europe,Israel,System administrator,790,89,297,193,2017,2200
Reuters Group plc,Europe,United Kingdom,IT coordinator,170,91,290,157,2013,6500
Revenue Properties Co. Ltd.,Europe,Canada,System administrator,125,63,248,122,2021,5800
Rhodia,Europe,France,Software engineering manager,710,81,260,86,1993,5900
Richmont Mines Inc.,Europe,Canada,.Net developer,425,87,296,151,2020,5000
Ricoh Company Ltd.,Europe,Japan,Computer programmer,620,78,298,63,2000,5400
Rio Algom Ltd.,Europe,Canada,Accounting and finance,695,86,296,129,1992,6700
Rio Narcea Gold Mines Ltd.,Europe,Canada,software developer,505,79,295,66,1999,5200
Rio Tinto Ltd.,Europe,Australia,Full stack developer,635,77,253,119,1992,5400
Rio Tinto plc,Europe,United Kingdom,Computer programmer,235,67,230,178,2012,2800
RIT Technologies Ltd.,Europe,Israel,Technical writer,635,78,284,117,2001,8600
Ritchie Bros. Auctioneers Inc.,Europe,Canada,Product manager,420,90,296,59,1994,7800
Riverdeep Group plc,Europe,Ireland,Business intelligence analyst,645,76,273,165,2012,5300
RoboGroup T.E.K. Ltd.,Europe,Israel,Software architect,90,70,274,163,2006,3200
Robomatix Technologies Ltd.,Europe,Israel,software developer,445,89,299,179,2018,7700
Rockwell Ventures Inc.,Europe,Canada,software developer,215,91,275,123,2003,2200
Rogers Communications Inc.,Europe,Canada,IT coordinator,325,63,230,146,2020,7900
Rogers Wireless Communications Inc.,Europe,Canada,Applications Development & Maintenance,100,75,235,190,2003,1000
Rosedale Decorative Products Ltd.,Europe,Canada,Program analyst,795,76,220,115,2001,8400
Royal & Sun Alliance Insurance Group plc,Europe,United Kingdom,Software engineering manager,695,63,245,73,2001,2200
Royal Ahold Ltd. - Koninklijke Ahold N.V.,Europe,Netherlands,Program analyst,350,79,200,181,2002,8500
Royal Bank of Canada,Europe,Canada,Java developer,615,62,277,99,2000,3600
Royal Bank of Scotland Group,Europe,United Kingdom,Data analyst,175,62,270,156,2016,5800
Royal Caribbean Cruises Ltd.,Europe,Liberia,Applications Development & Maintenance,415,79,212,151,2019,8600
Royal Dutch Petroleum Co.,Europe,Netherlands,Software architect,270,79,256,102,1991,2200
Royal Group Technologies Ltd.,Europe,Canada,Mobile developer,640,81,257,156,1999,1500
Royal Olympic Cruise Lines Inc.,Europe,Liberia,Product manager,370,84,217,187,2013,4700
Royal Standard Minerals Inc.,Europe,Canada,IT coordinator,775,66,217,126,1999,3900
Rtica Corp.,Europe,Canada,Java developer,230,60,290,104,2005,5700
Rubicon Minerals Corp.,Europe,Canada,Software engineering manager,295,60,201,187,2012,7900
Russel Metals Inc.,Europe,Canada,IT & Infrastructure,440,94,277,81,2009,8900
Ryanair Holdings plc,Europe,Ireland,UX designer,645,82,285,55,1995,4200
Sadia S.A.,Europe,Brazil,System administrator,330,87,269,78,2009,2100
SAES Getters S.p.A.,Europe,Italy,Computer programmer,590,76,252,191,2013,7100
Samex Mining Corp.,Europe,Canada,Software quality assurance,690,77,214,171,2001,7900
San Antonios Resources Inc.,Europe,Canada,.Net developer,565,86,209,147,2016,5000
San Telmo Resources Ltd.,Europe,Canada,Software quality assurance,140,82,254,95,2014,4200
Sand Technology Inc.,Europe,Canada,Applications Development & Maintenance,750,65,222,76,2007,7700
Sanpaolo-IMI S.p.A.,Europe,Italy,UX designer,745,71,299,94,2021,4400
Santa Isabel S.A.,Europe,Chile,Product manager,275,92,294,56,2014,4300
SAP Aktiengesellschaft,Europe,Germany,Technical writer,580,93,294,188,1992,1100
Sapiens International Corp. N.V.,Europe,Neth. Antilles,Data analyst,270,65,239,72,1990,9000
Sappi Ltd.,Europe,South Africa,Product manager,640,89,282,174,1997,6500
Satelites Mexicanos S.A. de C.V.,Europe,Mexico,System engineer,330,90,299,95,2010,2300
Satyam Computer Services Ltd.,Europe,India,Computer programmer,580,66,295,115,2021,7800
Satyam Infoway Ltd.,Europe,India,Data scientist,245,82,219,74,2012,1300
"Savia, S.A. de C.V.",Europe,Mexico,Network engineer,725,82,263,135,1990,6900
SBS Broadcasting S.A.,Europe,Luxembourg,System engineer,635,81,209,88,2001,5300
Scania AB,Europe,Sweden,IT coordinator,375,92,231,167,2011,5300
Schering Aktiengesellschaft,Europe,Germany,Program analyst,230,81,260,196,2001,7600
Schroder Ventures International Investment Trust,Europe,United Kingdom,software developer,355,87,273,163,1998,5600
Scitex Corp. Ltd.,Europe,Israel,Business intelligence analyst,750,90,290,168,1997,2500
Scoot.com plc,Europe,United Kingdom,Network engineer,415,68,264,106,2013,3300
SCOR,Europe,France,IT coordinator,775,69,259,150,2016,8400
Scottish Power plc,Europe,United Kingdom,Technical writer,355,68,222,197,2004,4200
SCS Solars Computing Systems Inc.,Europe,Canada,Product manager,425,73,236,146,2004,4300
Sea Containers Ltd.,Europe,Bermuda,Finance and accounting,465,68,265,95,1993,6900
Seat Pagine Gialle S.p.A.,Europe,Italy,Software architect,540,75,277,128,1995,7700
Secureview Systems Inc.,Europe,Canada,Software architect,180,93,205,108,1997,7700
Sense Technologies Inc.,Europe,Canada,Technical writer,755,88,256,61,1996,6300
Serono S.A.,Europe,Switzerland,Market research,520,70,223,88,2009,6200
Seven Seas Petroleum Inc.,Europe,Canada,Software quality assurance,545,91,283,137,2011,2900
SGL Carbon Aktiengesellschaft,Europe,Germany,Software quality assurance,610,70,230,160,1990,6700
Sharpe Resources Corp.,Europe,Canada,Software architect,485,61,255,104,2010,5400
Shaw Communications Inc.,Europe,Canada,.Net developer,185,78,222,111,1995,3600
Shell Canada Ltd.,Europe,Canada,IT analyst,735,70,217,186,1993,2300
Shell Transport and Trading Co. Ltd.,Europe,United Kingdom,System administrator,390,71,297,156,2009,7400
Siderca S.A.I.C.,Europe,Argentina,Full stack developer,95,64,214,160,2000,7800
Sideware Systems Inc.,Europe,Canada,IT coordinator,130,68,297,141,2010,3800
Siemens Aktiengesellschaft,Europe,Germany,Web developer,410,85,200,98,1991,1300
"Sierra Wireless, Inc.",Europe,Canada,Product manager,375,76,217,79,2012,2900
Signet Group plc,Europe,United Kingdom,Data analyst,245,62,214,113,2008,7000
Silent Witness Enterprises Inc.,Europe,Canada,Data analyst,320,66,271,81,1991,2100
Silicom Ltd.,Europe,Israel,Computer programmer,240,79,211,78,2006,2400
Siliconware Precision Industries Co. Ltd.,Europe,Taiwan,Application analyst,205,72,238,164,2008,8700
Silver Standard Resources Inc.,Europe,Canada,software developer,670,61,222,145,2010,7800
Silverado Gold Mines Ltd.,Europe,Canada,Full stack developer,160,77,256,72,2015,3800
Silverline Technologies Ltd.,Europe,India,Market research,135,71,287,84,2011,6500
Sina.com,Europe,Cayman Islands,Data analyst,165,75,241,179,2002,7400
Sinopec Shanghai Petrochemical Co. Ltd.,Europe,China,Application analyst,355,67,239,86,1993,5200
Six Continents plc,Europe,United Kingdom,Software engineering manager,705,84,249,104,1995,3000
SK Telecom Corp.,Europe,Korea,Computer programmer,665,83,259,139,2017,1800
Skyepharma plc,Europe,United Kingdom,Application developer,735,88,281,200,2015,4800
SmarTire Systems Inc.,Europe,Canada,Data analyst,210,63,224,136,1998,2000
Smartlogik Group plc,Europe,United Kingdom,Computer network architect,570,85,215,61,2014,7700
Smedvig ASA,Europe,Norway,Finance and accounting,585,82,231,148,2015,5700
Smith & Nephew plc,Europe,United Kingdom,UX designer,680,69,205,179,2015,6900
Softcare EC.com Inc.,Europe,Canada,Mobile developer,590,62,208,50,2005,3400
Sonera Corp.,Europe,Finland,UX designer,735,86,257,133,1992,5800
Song Networks Holding AB,Europe,Sweden,Software engineering manager,735,63,259,163,1990,8900
Song Networks N.V.,Europe,Netherlands,System administrator,120,73,215,62,1997,5200
Sonus Corp.,Europe,Canada,Software engineering manager,295,75,256,167,2009,4400
Sony Corp.,Europe,Japan,Network engineer,240,61,223,85,2014,3700
Sopheon plc,Europe,United Kingdom,Mobile developer,575,92,213,142,2010,7400
Southwestern Resources Corp.,Europe,Canada,UX designer,245,80,215,152,2001,8400
Sparkling Spring Water Group Ltd.,Europe,Canada,Market research,290,93,269,150,1998,3500
Spectrum Signal Processing Inc.,Europe,Canada,Computer programmer,270,62,294,50,2015,4900
Spirent plc,Europe,United Kingdom,UX designer,685,88,202,86,2017,5000
Sportech plc,Europe,United Kingdom,Business intelligence analyst,205,85,276,163,2019,8300
Spur Ventures Inc.,Europe,Canada,IT & Infrastructure,430,85,278,75,2020,6000
SQM - Sociedad Quimica y Minera S.A.,Europe,Chile,UX designer,565,75,285,151,2021,3300
ST Assembly Test Services Ltd.,Europe,Singapore,Market research,530,80,251,127,1995,1500
Stagecoach Holdings plc,Europe,United Kingdom,Full stack developer,270,73,241,142,2003,8000
Stake Technology Ltd.,Europe,Canada,Data scientist,490,87,299,166,2013,8600
Star Choice Communications Inc.,Europe,Canada,UX designer,255,60,204,108,2015,8800
Star Resources Corp.,Europe,Canada,System administrator,660,65,216,51,1996,8000
Starfield Resources Inc.,Europe,Canada,IT analyst,115,65,221,149,2012,5500
Stargate Entertainment Inc.,Europe,Canada,Program analyst,335,60,274,138,1997,2800
Statoil ASA,Europe,Norway,Full stack developer,260,85,236,166,2005,7500
Stelmar Shipping Ltd.,Europe,Liberia,System engineer,80,60,274,155,1998,8800
Stena Line AB,Europe,Sweden,System administrator,75,67,216,97,2007,7600
STET Hellas Telecommunications S.A.,Europe,Greece,Applications Development & Maintenance,740,85,293,135,2011,1100
STMicroelectronics N.V.,Europe,Netherlands,Software architect,190,90,266,124,2014,4200
Stockscape.com Technology Inc.,Europe,Canada,Finance and accounting,255,72,253,53,2016,3400
Stolt Nielsen S.A.,Europe,Luxembourg,Finance and accounting,300,76,292,90,2012,4700
Stolt Offshore S.A.,Europe,Luxembourg,Applications Development & Maintenance,175,86,201,106,2010,4300
Stora Enso OYJ,Europe,Finland,Program analyst,515,65,228,79,2005,2700
Stressgen Biotechnologies Corp.,Europe,Canada,Web developer,500,60,274,100,2001,4400
Suez,Europe,France,Computer network architect,110,77,202,62,2011,1800
Sulzer Medica Ltd.,Europe,Switzerland,Product manager,520,62,240,128,1998,6900
Sun International Hotels Ltd.,Europe,Bahamas,IT & Infrastructure,580,72,218,159,2002,4600
Sun Life Financial Services of Canada,Europe,Canada,System engineer,460,63,228,74,1994,8000
Sun Media Corp.,Europe,Canada,IT analyst,605,88,257,182,2008,5700
Suncor Energy Inc.,Europe,Canada,Applications Development & Maintenance,230,77,239,142,2016,6300
Sunday Communications Ltd.,Europe,Cayman Islands,Business intelligence analyst,435,75,293,183,2006,2200
Sungold Entertainment Corp.,Europe,Canada,Application developer,655,93,210,181,2021,5000
Supermercados Unimarc S.A.,Europe,Chile,IT analyst,100,79,253,154,2001,1300
Super-Sol Ltd.,Europe,Israel,Data scientist,480,72,260,151,2003,6800
Swedish Export Credit Corp.,Europe,Sweden,UX designer,295,79,291,148,2016,7800
Swedish Match AB,Europe,Sweden,Business intelligence analyst,390,93,251,158,1995,1700
Swisscom,Europe,Switzerland,.Net developer,480,94,294,144,2017,6800
Syngenta AG,Europe,Switzerland,Systems analyst,430,78,290,134,1992,5000
SYNSORB Biotech Inc.,Europe,Canada,Market research,265,87,277,126,2011,7800
T.V.G. Technologies Ltd.,Europe,Israel,IT coordinator,740,71,209,54,2017,4600
Taiwan Semiconductor Manufacturing Co. Ltd.,Europe,Taiwan,Data analyst,320,72,237,153,1993,5200
Talisman Energy Inc.,Europe,Canada,Application analyst,475,75,294,77,2005,8000
Talisman Enterprise Inc.,Europe,Canada,software developer,610,90,221,60,1997,8900
Taro Pharmaceutical Industries Ltd.,Europe,Israel,UX designer,400,85,296,60,2012,2400
Taseko Mines Ltd.,Europe,Canada,.Net developer,430,83,290,192,2019,7100
TAT Technologies Ltd.,Europe,Israel,software developer,795,72,253,50,1999,8000
TDC A/S,Europe,Denmark,software developer,545,66,279,89,1999,4100
TDK Corp.,Europe,Japan,IT coordinator,710,94,274,185,2019,8500
TDL Infomedia Group plc,Europe,United Kingdom,Computer network architect,455,93,229,183,1999,8300
Technip-Coflexip,Europe,France,System administrator,205,84,259,123,2010,2600
Techsite Strategies Corp.,Europe,Canada,Finance and accounting,525,88,260,176,2009,2900
Teck Ltd.,Europe,Canada,Network engineer,645,92,201,161,2002,1700
Tecnomatix Technologies Ltd.,Europe,Israel,IT & Infrastructure,730,70,230,121,1998,3600
Teekay Shipping Inc.,Europe,Marshall Islands,UX designer,690,81,295,168,2001,2400
Tefron Ltd.,Europe,Israel,Network engineer,185,90,218,197,2003,8800
Tele Celular Sul Participacoes S.A.,Europe,Brazil,System administrator,135,70,276,175,2007,4600
Tele Centro Oeste Celular Participacoes S.A.,Europe,Brazil,Technical writer,715,81,213,103,1995,2200
Tele Leste Celular Participacoes S.A.,Europe,Brazil,Program analyst,625,75,252,92,2009,2400
Tele Nordeste Celular Participacoes S.A.,Europe,Brazil,Market research,530,82,257,139,2012,5300
Tele Norte Celular Participacoes S.A.,Europe,Brazil,System engineer,440,66,220,136,2014,5800
Tele Norte Leste Participacoes S.A.,Europe,Brazil,IT analyst,265,76,216,64,2001,5900
Tele Sudeste Celular Participacoes S.A.,Europe,Brazil,IT analyst,570,85,230,120,2003,5100
Tele2 AB,Europe,Sweden,software developer,455,94,207,77,2021,8800
Telebras S.A.,Europe,Brazil,Application developer,590,86,226,75,1995,6000
Telecom Argentina STET France Telecom S.A.,Europe,Argentina,Full stack developer,125,92,214,71,2013,5600
Telecom Corp of New Zealand Ltd.,Europe,New Zealand,Finance and accounting,205,92,286,60,2013,1200
Telecom Italia S.p.A.,Europe,Italy,System administrator,240,90,208,78,2004,1700
Telecomunicaios de Sao Paulo S.A. - Telesp,Europe,Brazil,Web developer,650,81,286,124,1992,8100
Telefonaktiebolaget L M Ericsson,Europe,Sweden,System administrator,500,82,275,158,2017,4500
Telefonica de Argentina S.A.,Europe,Argentina,Systems analyst,110,78,287,169,2001,5600
Telefonica del Peru S.A.,Europe,Peru,Technical writer,740,88,202,115,2014,4900
"Telefonica Holding of Argentina, Inc.",Europe,Argentina,software developer,205,76,290,83,1997,1300
"Telefonica Moviles, S.A.",Europe,Spain,Full stack developer,465,90,265,85,2010,3400
Telefonica S.A.,Europe,Spain,software developer,540,76,203,174,2007,8900
Telefonos de Mexico S.A. de C.V.,Europe,Mexico,Technical writer,330,79,274,136,1992,6400
Teleglobe Inc.,Europe,Canada,Business intelligence analyst,230,83,232,176,2006,4100
Telekom Austria,Europe,Austria,IT analyst,495,74,235,62,2018,1300
Telemig Celular Participacoes S.A.,Europe,Brazil,.Net developer,190,80,204,178,2016,3800
Telenor ASA,Europe,Norway,Technical writer,455,94,223,102,2007,4400
Telesis North Communications Inc.,Europe,Canada,Product manager,400,64,258,52,2004,3700
Telesp Celular Participacoes S.A.,Europe,Brazil,Accounting and finance,545,60,229,67,2014,1500
Telesystem International Wireless Inc.,Europe,Canada,Business intelligence analyst,245,77,241,176,1992,2500
TeleWest Communications plc,Europe,United Kingdom,Market research,395,87,274,189,2001,6500
Telex Chile S.A.,Europe,Chile,Program analyst,165,69,227,112,1998,5400
Telstra Corp Ltd.,Europe,Australia,Business intelligence analyst,755,71,278,65,2012,7900
Telus Corp.,Europe,Canada,UX designer,300,69,209,102,1991,8200
Tembec Industries Inc.,Europe,Canada,Systems analyst,150,73,245,102,2003,3400
Terra Networks S.A.,Europe,Spain,Accounting and finance,415,81,210,199,1998,9000
Terra Nova Bermuda Holdings Ltd.,Europe,Bermuda,Web developer,585,73,207,119,2013,4500
Tesco Corp.,Europe,Canada,Network engineer,620,63,220,166,1994,3800
Tesma International Inc.,Europe,Canada,Product manager,600,88,233,122,1994,7000
Teva Pharmaceutical Industries Ltd.,Europe,Israel,Technical writer,565,89,252,60,2019,8900
Tevecap S.A.,Europe,Brazil,.Net developer,780,89,268,73,1992,6800
Texon International plc,Europe,United Kingdom,Computer network architect,475,74,291,166,1990,2800
"TFM, S.A. de C.V.",Europe,Mexico,System engineer,75,80,262,199,2014,7400
Thermo Tech Technologies Corp.,Europe,Canada,Technical writer,335,77,235,182,2020,6300
Thinkpath.com Inc.,Europe,Canada,.Net developer,535,60,295,90,2017,4300
Thomson Corp,Europe,Canada,Accounting and finance,500,72,209,87,1997,8500
Thomson Multimedia,Europe,France,Network engineer,335,60,259,137,1994,6100
Thrilltime Entertainment International Inc.,Europe,Canada,System engineer,495,64,232,152,2002,1300
Thrush Industries Inc.,Europe,Canada,Product manager,495,84,260,81,2015,7600
Tioga Technologies Ltd.,Europe,Israel,Computer network architect,415,94,258,174,1993,5300
Titan Trading Analytics Inc.,Europe,Canada,Accounting and finance,205,91,247,60,1999,8200
TLC The Laser Center Inc.,Europe,Canada,Market research,675,78,274,159,1993,4100
TM Group Holdings plc,Europe,United Kingdom,Computer network architect,510,91,291,107,2014,1400
"Tokio Marine & Fire Insurance Co., Ltd.",Europe,Japan,System administrator,785,63,300,86,2017,6700
Tomkins plc,Europe,United Kingdom,Program analyst,545,72,287,76,2008,2000
Toolex International N.V.,Europe,Netherlands,Product manager,330,78,272,112,2021,4300
Top Image Systems Ltd.,Europe,Israel,IT analyst,395,71,278,122,1992,1600
Toronto-Dominion Bank,Europe,Canada,UX designer,160,73,270,148,1996,6300
TotalFinaElf S.A.,Europe,France,System engineer,70,67,296,148,2021,6900
Tower Semiconductor Ltd.,Europe,Israel,System administrator,185,73,210,71,2012,7100
Toyota Motor Corp.,Europe,Japan,IT & Infrastructure,220,76,246,147,2014,3200
TPG N.V.,Europe,Netherlands,Accounting and finance,575,61,298,78,2003,1800
TPN Holdings plc,Europe,United Kingdom,Application developer,500,82,283,129,2002,8800
Tracer Petroleum Corp.,Europe,Canada,Business intelligence analyst,520,92,288,148,2008,3400
Trade Wind Communications Ltd.,Europe,Bermuda,IT analyst,415,88,269,76,2001,1500
Trader.com N.V.,Europe,Netherlands,System engineer,640,77,203,87,2021,8100
TradeRadius Online Inc.,Europe,Canada,.Net developer,415,88,266,157,2021,7500
Tramford International Ltd.,Europe,British Virgin Islands,Software quality assurance,610,91,228,132,2004,8100
TransAlta Corp.,Europe,Canada,IT analyst,110,69,236,159,2000,7900
TransCanada Pipelines Ltd.,Europe,Canada,Network engineer,770,77,215,87,1996,5300
Transco plc,Europe,United Kingdom,Product manager,300,70,241,113,2011,3400
Transcom Worldwide S.A.,Europe,Luxembourg,Applications Development & Maintenance,610,86,233,146,2007,2100
Transgene S.A.,Europe,France,Application developer,180,82,234,168,2003,7300
Transglobe Energy Corp.,Europe,Canada,Technical writer,240,61,272,56,2014,2700
Trans-Orient Petroleum Inc.,Europe,Canada,Computer programmer,410,89,227,78,2013,4400
Transportadora de Gas del Sur S.A.,Europe,Argentina,Business intelligence analyst,715,76,278,117,2019,2700
Transtel S.A.,Europe,Colombia,Technical writer,100,70,234,94,1994,7000
Tranz Rail Holdings Ltd.,Europe,New Zealand,Web developer,370,86,238,65,2018,4000
Travelex plc,Europe,United Kingdom,Product manager,585,71,229,109,2004,3200
Trenche Electric S.A.,Europe,France,Finance and accounting,110,79,217,77,2010,6300
Trend Micro Inc.,Europe,Japan,Computer network architect,295,62,292,91,2006,6800
Triant Technologies Inc.,Europe,Canada,Program analyst,120,64,224,188,2005,1200
Triband Resource Corp.,Europe,Canada,System administrator,585,78,290,60,1996,7000
"Tricom, S.A.",Europe,Dominican Republic,Product manager,445,65,280,118,2014,4600
Trimark Oil & Gas Ltd.,Europe,Canada,Application analyst,165,61,274,198,2002,6600
Trinity Biotech plc,Europe,Ireland,.Net developer,740,81,209,110,2000,5900
Trintech Group plc,Europe,Ireland,Software quality assurance,625,73,274,98,2020,7400
Triple P N.V.,Europe,Netherlands,Program analyst,705,75,248,171,1991,3300
Trivalence Mining Corp.,Europe,Canada,Product manager,590,76,223,64,1991,6400
Trizec Hahn Corp.,Europe,Canada,Product manager,515,88,266,176,2018,7400
Trooper Technologies Inc.,Europe,Canada,IT coordinator,625,74,208,171,2021,1300
TTI Team Telecom International Ltd.,Europe,Israel,.Net developer,330,80,221,189,2016,1700
Tubos de Acero de Mexico S.A.,Europe,Mexico,Application analyst,315,87,270,75,2019,4700
Turbodyne Technologies Inc.,Europe,Canada,Finance and accounting,370,84,276,113,2005,7700
Turkcell Iletisim Hizmetleri AS,Europe,Turkey,.Net developer,475,75,254,58,1994,1000
"TV Azteca, S.A. de C.V.",Europe,Mexico,Application developer,435,70,226,176,2002,3200
TVX Gold Inc.,Europe,Canada,IT & Infrastructure,435,93,291,104,2014,4100
Twin Mining Corp.,Europe,Canada,Technical writer,595,72,268,94,2009,7700
UBS AG,Europe,Switzerland,Java developer,410,65,235,138,2018,7000
Ultra Petroleum Corp.,Europe,Canada,Program analyst,545,68,237,156,2007,7500
Ultrapar Participacoes S.A.,Europe,Brazil,UX designer,250,74,232,61,2011,3600
Ultrapetrol (Bahamas) Ltd.,Europe,Bahamas,Technical writer,665,68,236,107,1998,7600
Unibail,Europe,France,Market research,390,83,258,161,1991,7900
Unibanco Holdings S.A.,Europe,Brazil,Computer network architect,515,93,269,71,1990,2500
Unibanco-Uniao de Bancos Brasileiros S.A.,Europe,Brazil,software developer,470,91,288,108,2015,8500
Uniglobe.com Inc.,Europe,Canada,Mobile developer,260,78,293,129,2015,1200
Unilens Vision Inc.,Europe,Canada,System administrator,690,64,290,125,2009,7800
Unilever N.V.,Europe,Netherlands,Data scientist,90,93,240,57,2000,4500
Unilever plc,Europe,United Kingdom,Application developer,395,73,282,166,2018,5000
United Biscuits Finance plc,Europe,United Kingdom,Web developer,725,81,300,174,2002,8200
United Business Media plc,Europe,United Kingdom,Java developer,785,69,261,85,1993,7800
United Microelectronics Corp.,Europe,Taiwan,Systems analyst,265,68,280,61,2002,8500
United Utilities plc,Europe,United Kingdom,IT coordinator,600,83,269,113,1993,8700
Universal Domains Inc.,Europe,Canada,IT coordinator,530,65,292,166,2017,6800
UPM Kymmene Miramichi Inc.,Europe,Canada,Full stack developer,650,79,280,78,2006,4100
UPM-Kymmene OYJ,Europe,Finland,System engineer,150,87,288,70,2005,1000
Usinor Sacilor,Europe,France,Systems analyst,420,73,238,130,2021,3600
UTi Worldwide Inc.,Europe,British Virgin Islands,Program analyst,120,78,205,171,2005,6400
Van der Moolen Holding N.V.,Europe,Netherlands,Product manager,585,78,273,89,2015,5400
Vancan Capital Corp.,Europe,Canada,System administrator,400,64,252,56,2010,6700
Vannessa Ventures Ltd.,Europe,Canada,Technical writer,545,85,253,142,1996,7700
Vantico Group S.A.,Europe,Luxembourg,Data scientist,570,63,278,190,2008,5900
"Vasogen, Inc.",Europe,Canada,System engineer,380,84,261,63,2019,6200
Venture Pacific Development Corp.,Europe,Canada,Network engineer,460,80,300,109,1992,8700
Verena Minerals Corp.,Europe,Canada,Finance and accounting,340,93,224,184,1991,5300
Veritas Holdings GmbH,Europe,Germany,Software engineering manager,725,90,280,84,2007,2600
Vernalis Group plc,Europe,United Kingdom,System engineer,500,61,245,184,2010,8700
Veronex Technologies Inc.,Europe,Canada,IT coordinator,265,94,230,200,1999,5400
Versatel Telecom International N.V.,Europe,Netherlands,Software architect,480,78,203,160,2009,6800
VI Group plc,Europe,United Kingdom,Java developer,365,76,272,126,1993,7300
Videsh Sanchar Nigam Ltd.,Europe,India,System administrator,70,94,290,115,1998,4900
Vimpel Communications,Europe,Russia,Finance and accounting,790,60,219,65,2006,1800
Vina Concha y Toro S.A.,Europe,Chile,Market research,770,73,297,174,1990,8400
Virgin Express Holdings plc,Europe,United Kingdom,Data analyst,180,62,274,70,2019,4600
Virginia Gold Mines Inc.,Europe,Canada,IT & Infrastructure,750,90,289,186,2010,2700
VirtualSellers.com Inc,Europe,Canada,Application developer,200,65,277,139,2013,6200
Viryanet Ltd.,Europe,Israel,Data scientist,195,91,246,50,2011,3100
Visible Genetics Inc.,Europe,Canada,Product manager,700,65,256,122,2016,5200
Vista Gold Corp.,Europe,Canada,Product manager,255,71,245,66,2020,8800
Vitran Co. Ltd.,Europe,Canada,Technical writer,600,85,206,181,2020,5200
Vitro S.A.,Europe,Mexico,UX designer,595,91,211,175,1991,6200
Vivendi Environment,Europe,France,Web developer,245,62,276,68,2019,4800
Vivendi Universal,Europe,France,Product manager,70,91,288,200,1995,2600
Vocaltec Communications Ltd.,Europe,Israel,Computer network architect,575,91,295,61,1994,1600
Vodafone Group plc,Europe,United Kingdom,Data analyst,730,72,268,122,2011,6500
VoiceIQ Inc.,Europe,Canada,IT coordinator,620,61,251,112,2005,3400
Votorantim Celulose e Papel S.A.,Europe,Brazil,.Net developer,115,77,216,71,2019,8300
W.P. Stewart & Co. Ltd.,Europe,Bermuda,System administrator,555,61,269,140,2010,2700
